Overall ranking,Year,City,Total percent below poverty,Percent of under age 18 below poverty,Percent of over age 60 below poverty,Percent of white below poverty,Percent of black below poverty,Percetn of Latino below poverty,Percent with BA or higher below poverty,State
1,2016,Flint city  ,44.5,57.7,22,37.9,47.3,50.4,21.1,Michigan
2,2016,Bloomington city  ,38.1,24.1,13,35.2,N,N,11.8,Indiana
3,2016,Reading city  ,36.8,48.9,24.5,18.4,35.1,42.8,21.3,Pennsylvania
4,2016,Detroit city  ,35.7,50.8,22.9,36.2,35.7,30,10.8,Michigan
5,2016,Youngstown city  ,35.2,53.5,20.1,21.6,45.4,52.4,12.7,Ohio
6,2016,Cleveland city  ,35,51.4,23.1,26,42.2,31.3,9.8,Ohio
7,2016,Homestead city  ,33.9,41.8,25.3,13.5,28.1,41.3,11.5,Florida
8,2016,Gainesville city  ,33.4,32,7,27.3,41.8,45.1,13.5,Florida
9,2016,Gary city  ,33.3,53.6,20,36.1,32.3,N,9.4,Indiana
10,2016,Albany city  ,32.5,45.5,17.2,16.1,36.2,N,6.1,Georgia
11,2016,Laredo city  ,32.4,44.4,23.9,4.8,N,33.3,6.3,Texas
12,2016,Rochester city  ,32.3,48.6,21.6,23.2,32.7,44.2,8.1,New York
13,2016,Syracuse city  ,32.1,47.4,17.2,23,43.1,40.5,11.5,New York
14,2016,Dayton city  ,32,47.3,20.6,27.5,37.8,N,10.8,Ohio
15,2016,Passaic city  ,31.6,45.6,21.5,6.7,18.1,38,5.4,New Jersey
16,2016,Canton city  ,31.5,48.9,13.4,21.5,44.9,N,4.5,Ohio
17,2016,College Station city  ,31.1,18.7,9.5,27.9,41.8,35.8,6.5,Texas
18,2016,Kalamazoo city  ,30.9,36.5,12.5,30.9,29.1,N,10.9,Michigan
19,2016,Shreveport city  ,30.8,45.9,19.2,15.1,39.7,N,7.1,Louisiana
20,2016,Dearborn city  ,30.6,42.1,17.6,30.8,N,N,10.3,Michigan
21,2016,Davis city  ,30.5,7.9,4.1,19.4,N,44.4,6.2,California
22,2016,Camden city  ,30.5,34.4,17.8,,27,30,7.1,New Jersey
23,2016,Buffalo city  ,30.5,43.9,18.2,21.9,35.2,37.6,11.8,New York
24,2016,Greenville city  ,30.3,30.6,12.9,32.2,29.7,N,8.1,North Carolina
25,2016,Allentown city  ,30.2,39.8,20.2,22.4,28.4,35.3,10.9,Pennsylvania
26,2016,Ames city  ,29.7,5.8,3.2,27.7,N,N,5.3,Iowa
27,2016,San Bernardino city  ,29.4,44,14.6,17.7,29,33.1,6,California
28,2016,Iowa City city  ,29.4,27.2,8.2,24.7,45.8,N,7.9,Iowa
29,2016,Brownsville city  ,28.6,39.8,24.5,6.9,N,30.2,8,Texas
30,2016,Paterson city  ,28.5,41.1,28.1,30.4,30,26.8,15.8,New Jersey
31,2016,Harlingen city  ,28.3,41.3,14.9,21.3,N,30,4.4,Texas
32,2016,Merced city  ,28.2,37.7,15.6,15.2,N,35.8,7,California
33,2016,Newark city  ,28.2,37.1,25.7,21.9,30,29.8,17.8,New Jersey
34,2016,Florence-Graham CDP  ,28.1,37.9,20.6,,N,28.1,13.9,California
35,2016,Fresno city  ,28.1,41.1,15.7,17,37.6,32.9,7.2,California
36,2016,Muncie city  ,28.1,33.9,9.3,26.9,28.2,N,11.6,Indiana
37,2016,Athens-Clarke County unified government (balance)  ,27.9,26.8,9.1,24.8,34.1,20,7.7,Georgia
38,2016,Bowling Green city  ,27.9,38.5,13.6,23.5,26.9,N,9.3,Kentucky
39,2016,Baton Rouge city  ,27.8,40.9,12.8,21,33.6,18.2,8.1,Louisiana
40,2016,Trenton city  ,27.8,37.1,22.1,25.5,29,29.1,10.3,New Jersey
41,2016,Arden-Arcade CDP  ,27.7,45.2,14.6,21,25,41.7,10.7,California
42,2016,Wilmington city  ,27.7,44.3,18.7,12.3,35.2,22.6,9.1,Delaware
43,2016,Edinburg city  ,27.6,36.3,22.7,,N,28.6,3.6,Texas
44,2016,Lake Charles city  ,27.5,41.9,17.7,13.4,39.2,N,13.7,Louisiana
45,2016,Hartford city  ,27.3,36.9,22.9,16.2,21.3,34.7,9.1,Connecticut
46,2016,Erie city  ,27.3,40.6,13.7,19,52,52.2,11,Pennsylvania
47,2016,Memphis city  ,26.9,44.7,13.2,13.3,32.3,30.8,7.8,Tennessee
48,2016,Richmond city  ,26.8,42.7,14,12.2,38.2,20.6,6,Virginia
49,2016,El Cajon city  ,26.7,40,14.9,24.4,N,27.6,7.8,California
50,2016,McAllen city  ,26.7,40.3,15.9,,N,29.6,7.7,Texas
